state,total consumption
Alabama,504164
Alaska,30407
Arizona,348446
Arkansas,211244
California,775459
Colorado,144383
Connecticut,176943
Delaware,44442
District Of Columbia,1064
Florida,1437244
Georgia,471841
Hawaii,11791
Idaho,41517
Illinois,195806
Indiana,305485
Iowa,84851
Kansas,49100
Kentucky,162292
Louisiana,664085
Maine,35399
Maryland,105058
Massachusetts,131292
Michigan,369929
Minnesota,86905
Mississippi,391964
Missouri,111605
Montana,15936
Nebraska,25494
Nevada,192310
New Hampshire,33311
New Jersey,260651
New Mexico,98682
New York,505972
North Carolina,481185
North Dakota,37064
Ohio,515125
Oklahoma,305931
Oregon,139450
Pennsylvania,938238
Rhode Island,53421
South Carolina,201439
South Dakota,15613
Tennessee,167096
Texas,2341286
Utah,96506
Vermont,113
Virginia,380540
Washington,115730
West Virginia,43587
Wisconsin,207761
Wyoming,44369
