State,2022,2023
Maine,17.44,20.84
Massachusetts,21.27,23.21
New Hampshire,21.07,22.96
Rhode Island,19.3,21.62
Vermont,16.99,17.53
New Jersey,14.8,15.27
New York,18.33,18.28
Pennsylvania,11.86,12.57
Illinois,11.94,11.75
Indiana,11.66,11.49
Michigan,13.2,13.68
Ohio,10.64,11.04
Wisconsin,11.95,12.72
Iowa,9.57,9.42
Kansas,11.47,10.8
Minnesota,12.04,12.21
Missouri,10.26,10.87
Nebraska,8.83,9.14
North Dakota,8.42,8.03
South Dakota,10.44,10.49
Delaware,11.83,12.85
District Of Columbia,14.94,16.5
Florida,12.51,13.53
Georgia,12.0,11.06
Maryland,13.32,14.34
North Carolina,9.6,10.61
South Carolina,10.74,10.5
Virginia,10.75,10.68
West Virginia,9.74,10.26
Alabama,11.59,11.47
Kentucky,10.51,9.96
Mississippi,10.36,10.95
Tennessee,10.89,10.69
Arkansas,9.91,9.73
Louisiana,10.41,8.91
Oklahoma,10.05,9.3
Texas,10.16,10.04
Arizona,11.31,12.19
Colorado,11.75,11.76
Idaho,8.51,9.08
Montana,9.97,10.97
Nevada,10.94,13.09
New Mexico,10.02,9.47
Utah,8.8,9.03
Wyoming,8.24,8.39
California,22.33,24.87
Oregon,9.26,10.32
Washington,9.05,9.58
Alaska,20.73,21.41
Hawaii,39.72,38.6
