state,total renewable production,total nonrenewable production,total production
Alabama,15189,130516,145705
Alaska,1909,4801,6710
Arizona,25296,90466,115762
Arkansas,6081,60791,66872
California,150315,114568,264883
Colorado,24570,37244,61814
Connecticut,2723,41801,44524
Delaware,369,4963,5332
District Of Columbia,278,80,358
Florida,29464,243331,272795
Georgia,22540,111276,133816
Hawaii,3658,6914,10572
Idaho,12599,4392,16991
Illinois,28235,159519,187754
Indiana,13187,84086,97273
Iowa,48070,25605,73675
Kansas,30008,32351,62359
Kentucky,5172,64123,69295
Louisiana,3657,100435,104092
Maine,8794,4736,13530
Maryland,5300,33837,39137
Massachusetts,8917,17462,26379
Michigan,13891,103381,117272
Minnesota,21273,39838,61111
Mississippi,2327,65979,68306
Missouri,10020,70022,80042
Montana,14052,13117,27169
Nebraska,13943,26859,40802
Nevada,25412,27594,53006
New Hampshire,2784,16224,19008
New Jersey,6764,62868,69632
New Mexico,19167,24289,43456
New York,40470,89972,130442
North Carolina,30180,115935,146115
North Dakota,18043,26328,44371
Ohio,6359,129960,136319
Oklahoma,39793,45010,84803
Oregon,44238,19092,63330
Pennsylvania,8361,231416,239777
Rhode Island,1684,7023,8707
South Carolina,8667,92986,101653
South Dakota,14589,3316,17905
Tennessee,10585,68193,78778
Texas,164759,383810,548569
Utah,10338,33674,44012
Vermont,2589,9,2598
Virginia,12972,81520,94492
Washington,88860,28052,116912
West Virginia,3697,52966,56663
Wisconsin,6793,55474,62267
Wyoming,10920,35308,46228
