State,Program Name,Type
North Dakota,North Dakota Solar/Wind Easements and Laws,Solar/Wind Access Policy
Arizona,Qualifying Wood Stove Deduction,Personal Tax Deduction
Maryland,Maryland Solar Easements & Rights Laws,Solar/Wind Access Policy
Oregon,Oregon Solar and Wind Easements/Rights Laws & Local Option Solar Rights Law,Solar/Wind Access Policy
Alaska,Alaska Solar Easements,Solar/Wind Access Policy
Idaho,Idaho Solar Easements & Access Laws,Solar/Wind Access Policy
Kansas,Kansas Solar Easement Laws,Solar/Wind Access Policy
Colorado,Xcel Energy - Net Metering,Net Metering
Georgia,Georgia Solar Easement Laws,Solar/Wind Access Policy
Kentucky,Kentucky Solar Easements Laws,Solar/Wind Access Policy
Maine,Maine Solar Easements (Duplicate entry),Solar/Wind Access Policy
Rhode Island,Rhode Island Solar Easement Laws,Solar/Wind Access Policy
Washington,Solar Easements & Rights Laws,Solar/Wind Access Policy
Texas,Fuel Mix and Emissions Disclosure,Generation Disclosure
Arizona,Arizona Solar Rights,Solar/Wind Access Policy
Tennessee,Tennessee Solar Easement and Access Laws,Solar/Wind Access Policy
New Jersey,New Jersey Solar Easements (duplicate entry),Solar/Wind Access Policy
Missouri,Missouri Solar Easements & Rights Laws,Solar/Wind Access Policy
New Hampshire,New Hampshire Solar Easements (Duplicate entry),Solar/Wind Access Policy
Ohio,Ohio Solar Easement and Access Laws,Solar/Wind Access Policy
California,Glendale Water and Power - Solar Solutions Program,Rebate Program
Montana,Lincoln Electric Cooperative - Net Metering,Net Metering
Oregon,Solar Water Heating Incentive Program,Rebate Program
Montana,Mandatory Utility Green Power Option,Mandatory Utility Green Power Option
Iowa,Iowa Solar Easement and Access Laws,Solar/Wind Access Policy
Florida,Florida Solar Easement and Access Laws,Solar/Wind Access Policy
Arizona,Solar & Wind Equipment Certification,Equipment Certification
Oregon,BEF - Solar 4R Schools,Grant Program
Arkansas,Advanced Biofuels Tax Credit,Industry Recruitment/Support
Massachusetts,Green Power Predevelopment Financing Grant,Grant Program
Indiana,Indiana Biomass Grant Program,Grant Program
Illinois,ComEd - Wind & Photovoltaic Generation Program,Net Metering
Ohio,Net Metering,Net Metering
Montana,Net Metering,Net Metering
New Jersey,Net Metering,Net Metering
Oregon,Net Metering,Net Metering
Virginia,Net Metering,Net Metering
Vermont,Net Metering,Net Metering
Washington,Net Metering,Net Metering
Delaware,Net Metering,Net Metering
Vermont,Renewable Energy Systems Sales Tax Exemption,Sales Tax Incentive
Vermont,Local Option - Property Tax Exemption,Property Tax Incentive
Alabama,Wood-Burning Heating System Deduction,Personal Tax Deduction
Arkansas,Emerging Technology Development Credit,Industry Recruitment/Support
Arkansas,Energy-Saving Equipment Deduction,Personal Tax Deduction
Hawaii,Solar and Wind Energy Credit (Corporate),Corporate Tax Credit
Hawaii,Solar and Wind Energy Credit (Personal),Personal Tax Credit
Hawaii,Wind Energy System Personal Tax Credit,Personal Tax Credit
Hawaii,Wind Energy System Corporate Tax Credit,Corporate Tax Credit
Hawaii,Alcohol Fuels Exemption,Sales Tax Incentive
Indiana,Renewable Energy Property Tax Exemption,Property Tax Incentive
Indiana,Energy Education and Demonstration Grant Program,Grant Program
Iowa,Renewable Energy Equipment Exemption,Sales Tax Incentive
Iowa,Ethanol-Based Fuels Exemption,Sales Tax Incentive
Nebraska,State Agency Renewable Energy Utilization,Energy Standards for Public Buildings
Maine,Voluntary Renewable Resources Grants,Grant Program
New Hampshire,Local Option - Property Tax Exemption for Renewable Energy and Electrical Energy Storage,Property Tax Incentive
Texas,San Antonio City Public Service - Distributed Generation Program,Net Metering
Idaho,BEF - Solar 4R Schools,Grant Program
Washington,Grays Harbor PUD - Solar Water Heater Rebate,Rebate Program
Wisconsin,WisconSUN Demonstration Grants,Grant Program
Pennsylvania,Net Metering,Net Metering
California,Marin County - Green Building Requirements,Building Energy Code
Maryland,Clean Energy Incentive Act (Personal Credit),Personal Tax Credit
Pennsylvania,Fuel Mix Disclosure,Generation Disclosure
Maryland,Sales Tax Exemption -  Fuel Cells,Sales Tax Incentive
Maryland,EV and Hybrid Sales Tax Exemption,Sales Tax Incentive
Maryland,Clean Energy Incentive Act (Corporate Credit),Corporate Tax Credit
Montana,Montana Electric Coops - Net Metering,Net Metering
Hawaii,Ethanol Production Investment Tax Credit,Corporate Tax Credit
Florida,PV Rebate Program,Rebate Program
Kansas,Renewable Energy Property Tax Exemption,Property Tax Incentive
New York,Long Island Power Authority - PV Rebate Program,Rebate Program
Ohio,Energy Conversion and Thermal Efficiency Sales Tax Exemption,Sales Tax Incentive
Ohio,Air-Quality Improvement Tax Incentives,Other Incentive
Ohio,Energy Conversion Facilities Property Tax Exemption,Property Tax Incentive
New York,Residential Solar Tax Credit,Personal Tax Credit
Texas,Solar and Wind Energy Device Franchise Tax Deduction,Corporate Tax Deduction
Texas,Solar and Wind Energy Business Franchise Tax Exemption,Industry Recruitment/Support
Utah,Renewable Energy Systems Tax Credit (Personal),Personal Tax Credit
Arizona,UES - Renewable Energy Credit Purchase Program,Rebate Program
Virginia,Local Option - Residential Property Tax Exemption for Solar,Property Tax Incentive
Vermont,GMP - Biomass Grants,Grant Program
Washington,Fuel Mix and Emissions Disclosure,Generation Disclosure
New Mexico,Schools with Sol,Grant Program
Washington,Klickitat PUD - Solar PV Rebate,Rebate Program
Colorado,Aspen Electric - Net Metering,Net Metering
Washington,Klickitat PUD - Solar PV Loan Program,Loan Program
Delaware,DEMEC - Green Power Program,Mandatory Utility Green Power Option
New York,Renewable Portfolio Standard,Renewables Portfolio Standard
Arizona,SRP - Solar Water Heating Program,Rebate Program
Delaware,Technology and Demonstration Grants,Grant Program
Delaware,Research and Development Grants,Grant Program
North Carolina,Renewable Energy Equipment Manufacturer Incentive,Industry Recruitment/Support
Washington,Grays Harbor PUD - Solar Water Heater Loan,Loan Program
West Virginia,Tax Exemption for Renewable Energy Generation,Corporate Tax Exemption
Washington,Grays Harbor PUD - Net Metering,Net Metering
Rhode Island,Residential Solar Energy Property Tax Reduction,Property Tax Incentive
Florida,Orlando Utilities Commission - Net Metering,Net Metering
Rhode Island,Renewable Energy Sales Tax Refund,Sales Tax Incentive
Michigan,Energy Efficiency Grants,Grant Program
Missouri,City of Columbia - Renewable Portfolio Standard,Renewables Portfolio Standard
Arizona,City of Tucson - Solar Dividend,Other Policy
Alaska,Power Project Loan Fund,Loan Program
California,Palo Alto Utilities - Remote Renewables Program,Grant Program
Hawaii,Hawaii Natural Energy Institute,Other Policy
Arizona,Residential Solar and Wind Energy Systems Tax Credit,Personal Tax Credit
Arizona,Solar and Wind Equipment Sales Tax Exemption,Sales Tax Incentive
California,Silicon Valley Power - Solar Electric Buy Down Program,Rebate Program
Arizona,Revolving Energy Loans for Arizona (RELA) Program,Loan Program
California,City of Davis - Green Power Purchasing,Green Power Purchasing
California,Santa Clara Water & Sewer - Solar Water Heating Program,Leasing Program
Nevada,NV Energy - Clean Energy Incentive Program,Rebate Program
California,Geothermal Grant & Loan Program,Grant Program
California,Small Business Energy Loan Program,Loan Program
California,Energy Technology Export Program,Industry Recruitment/Support
Connecticut,Alternative Fueled Vehicle Incremental Cost Credit,Corporate Tax Credit
Connecticut,Alternative Fueled Vehicle Charging Station Credit,Corporate Tax Credit
Oregon,Ashland Electric Utility - Bright Way to Heat Water Rebate,Rebate Program
California,City of Davis - Solar Shade Control Act,Solar/Wind Access Policy
Oregon,Ashland Electric Utility - Solar Water Heater Loan,Loan Program
Colorado,Renewable Energy Standard,Renewables Portfolio Standard
South Carolina,Public Building Solar Initiative,Grant Program
California,Riverside Public Utilities - Residential PV Incentive Program,Rebate Program
Michigan,Solar Domestic Hot Water System Rebate Program,Rebate Program
Idaho,Residential Alternative Energy Tax Deduction,Personal Tax Deduction
Illinois,Special Assessment for Solar Energy Systems,Property Tax Incentive
California,Riverside Public Utilities - Energy Efficiency Construction Incentive,Rebate Program
Oregon,BEF - Solar Starters,Performance-Based Incentive
Massachusetts,Clustered PV Installation Program,Rebate Program
Iowa,Local Option - Special Assessment of Wind Energy Devices,Property Tax Incentive
Maryland,Wood Heating Fuel Exemption,Sales Tax Incentive
Massachusetts,Residential Renewable Energy Income Tax Credit,Personal Tax Credit
Massachusetts,Renewable Energy Equipment Sales Tax Exemption,Sales Tax Incentive
Massachusetts,Renewable Energy Property Tax Exemption,Property Tax Incentive
Massachusetts,Excise Tax Exemption for Solar or Wind Powered Systems,Corporate Tax Exemption
Massachusetts,Excise Tax Deduction for Solar or Wind Powered Systems,Corporate Tax Deduction
Massachusetts,Alternative Energy and Energy Conservation Patent Income Tax Deduction (Corporate),Industry Recruitment/Support
California,State Building Solar Requirements,Energy Standards for Public Buildings
Minnesota,Wind and Solar-Electric (PV) Systems Exemption,Property Tax Incentive
New York,Green Building Tax Credit Program (Personal),Personal Tax Credit
Montana,Renewable Energy Systems Exemption,Property Tax Incentive
Missouri,Alternative Fuel Vehicle Loan Program,Loan Program
Louisiana,Alternative Vehicle Conversion Credits - Personal,Personal Tax Credit
Connecticut,Connecticut Clean Energy Fund,Public Benefits Fund
Nevada,Renewable Energy Systems Property Tax Exemption,Property Tax Incentive
Delaware,Delmarva - Green Energy Fund,Public Benefits Fund
North Dakota,Renewable Energy Property Tax Exemption,Property Tax Incentive
North Dakota,Geothermal Tax Credit,Personal Tax Credit
Maine,Efficiency Maine Trust - Energy Efficiency and Renewable Resource Fund,Public Benefits Fund
Maryland,State Agency Loan Program,Loan Program
Pennsylvania,Public Benefits Programs,Public Benefits Fund
Oregon,Renewable Energy Systems Exemption,Property Tax Incentive
California,Burbank Water and Power - Residential and Commercial Solar Support Program,Rebate Program
Oregon,Business Energy Tax Credit,Corporate Tax Credit
New Jersey,Societal Benefits Charge,Public Benefits Fund
Oregon,Utility Independent Home Rebate Program,Rebate Program
Oregon,Remote Water Pumping Rebate Program,Rebate Program
South Dakota,Renewable Energy Systems Exemption,Property Tax Incentive
Minnesota,Ethanol Production Incentive,Performance-Based Incentive
Texas,Renewable Energy Systems Property Tax Exemption,Property Tax Incentive
New York,Green Building Tax Credit Program (Corporate),Corporate Tax Credit
California,Energy Innovations Small Grant (EISG) Program,Grant Program
California,Public Interest Energy Research Grants (PIER),Grant Program
Massachusetts,Mass Energy Consumers Alliance - Renewable Energy Certificate Incentive,Performance-Based Incentive
Wisconsin,"Biogas, Solar, and Wind Energy Equipment Exemption",Property Tax Incentive
Washington,Plug and Play Off-Grid PV Buydown,Rebate Program
Nevada,Large Scale Renewable Energy Property Tax Abatement (Nevada State Office of Energy),Property Tax Incentive
Texas,Renewable Generation Requirement,Renewables Portfolio Standard
North Carolina,Active Solar Heating and Cooling Systems Exemption,Property Tax Incentive
Iowa,Property Tax Exemption for Renewable Energy Systems,Property Tax Incentive
Iowa,Methane Gas Conversion Property Tax Exemption,Property Tax Incentive
Arizona,Sulphur Springs Valley EC - SunWatts Rebate Program,Rebate Program
Oregon,Fuel Mix and Emissions Disclosure,Generation Disclosure
