State,Average retail price of electricity
Connecticut,24.24
Maine,20.84
Massachusetts,23.21
New Hampshire,22.96
Rhode Island,21.62
Vermont,17.53
New Jersey,15.27
New York,18.28
Pennsylvania,12.57
Illinois,11.75
Indiana,11.49
Michigan,13.68
Ohio,11.04
Wisconsin,12.72
Iowa,9.42
Kansas,10.8
Minnesota,12.21
Missouri,10.87
Nebraska,9.14
North Dakota,8.03
South Dakota,10.49
Delaware,12.85
District Of Columbia,16.5
Florida,13.53
Georgia,11.06
Maryland,14.34
North Carolina,10.61
South Carolina,10.5
Virginia,10.68
West Virginia,10.26
Alabama,11.47
Kentucky,9.96
Mississippi,10.95
Tennessee,10.69
Arkansas,9.73
Louisiana,8.91
Oklahoma,9.3
Texas,10.04
Arizona,12.19
Colorado,11.76
Idaho,9.08
Montana,10.97
Nevada,13.09
New Mexico,9.47
Utah,9.03
Wyoming,8.39
California,24.87
Oregon,10.32
Washington,9.58
Alaska,21.41
Hawaii,38.6
