State ID,State,Program Name,Type
1,Alabama,TVA - Green Power Providers,Performance-Based Incentive
1,Alabama,Dixie Electric Cooperative - Residential Energy Efficiency Loan Program,Loan Program
1,Alabama,Wiregrass Electric Cooperative - H2O Plus Program,Rebate Program
1,Alabama,Cullman Electric Cooperative - New Home Rebate Program,Rebate Program
1,Alabama,Cullman Electric Cooperative - Energy Conservation Loan Program,Loan Program
1,Alabama,City of Florence Utilities - Residential Heat Pump Retrofit Loan Program,Loan Program
1,Alabama,Covington Electric Cooperative Inc - Touchstone Energy Home Program,Rebate Program
1,Alabama,City of Florence Utilities - Residential Energy Efficiency Rebate Program,Rebate Program
1,Alabama,Alabama Gas Corporation - Residential Natural Gas Rebate Program,Rebate Program
1,Alabama,Cullman Electric Cooperative - Energy Efficient Homes Program,Rebate Program
1,Alabama,Alabama Power - Hybrid Water Heater Rebate,Rebate Program
1,Alabama,Cherokee Electric Cooperative - New Home Rebate Program,Rebate Program
1,Alabama,Wood-Burning Heating System Deduction,Personal Tax Deduction
1,Alabama,,Other Incentive
1,Alabama,Central Alabama Electric Cooperative - Residential Energy Efficiency Rebate Program,Rebate Program
1,Alabama,Agriculture Energy Efficiency Program,Grant Program
1,Alabama,TVA Partner Utilities - In-Home Energy Evaluation Pilot Program,Rebate Program
1,Alabama,TVA - Green Power Providers,Feed-in Tariff
1,Alabama,Dixie Electric Cooperative - Residential Energy Efficiency Rebate Program,Rebate Program
1,Alabama,Joe Wheeler Electric Membership Corporation - Heat Pump Program,Loan Program
1,Alabama,Low Income Home Energy Assistance Program,Grant Program
1,Alabama,Electric Transportation Infrastructure Grant Program,Grant Program
1,Alabama,Biomass Energy Program,Grant Program
1,Alabama,Electric Vehicle Charging Infrastructure Program,Grant Program
1,Alabama,Wiregrass Electric Cooperative - EC Home Improvement Loan Program,Loan Program
1,Alabama,South Alabama Electric Cooperative - Residential Energy Efficiency Rebate Program,Rebate Program
1,Alabama,South Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,Loan Program
1,Alabama,TVA - Residential Energy Efficiency Rebate Program,Rebate Program
1,Alabama,Alabama Commercial PACE financing program,PACE Financing
1,Alabama,Central Alabama Electric Cooperative - Residential Energy Efficiency Loan Program,Loan Program
1,Alabama,Sand Mountain Electric Cooperative - Residential Heat Pump Loan Program,Loan Program
1,Alabama,Alabama - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,Grant Program
1,Alabama,Joe Wheeler Electric Membership Corporation - New Homes Rebate Program,Rebate Program
1,Alabama,TVA - Commercial Energy Efficiency Rebate Program,Rebate Program
1,Alabama,Joe Wheeler Electric Membership Corporation - Residential Heat Pump Loan Program,Loan Program
1,Alabama,Sand Mountain Electric Cooperative - Residential Energy Efficiency Rebate Programs,Rebate Program
1,Alabama,TVA Partner Utilities - Energy Right New Homes Program,Rebate Program
1,Alabama,Cherokee Electric Cooperative - Residential Energy Efficiency Loan Programs,Loan Program
1,Alabama,TVA Partner Utilities - Energy Right Heat Pump Program,Loan Program
1,Alabama,Interconnection Standards,Interconnection
1,Alabama,AlabamaWISE Home Energy Program,Loan Program
1,Alabama,AlabamaSAVES Revolving Loan Program,Loan Program
1,Alabama,Voluntary Green Building Standards for Public Buildings,Energy Standards for Public Buildings
1,Alabama,TVA - Small-Business Fast Cash Efficiency Incentives,Rebate Program
1,Alabama,Building Energy Code,Building Energy Code
1,Alabama,Energy Standards for State Agencies,Energy Standards for Public Buildings
1,Alabama,TVA - Solar Solutions Initiative,Performance-Based Incentive
1,Alabama,Energy-Efficient Retrofits Program,Grant Program
1,Alabama,TVA Partner Utilities - Energy Right Water Heater Program,Rebate Program
1,Alabama,Advanced Bus and Clean (ABC) Transportation Program (Duplicate Entry),Grant Program
1,Alabama,TVA - Energy Right Solutions for Business,Rebate Program
1,Alabama,TVA - Mid-Sized Renewable Standard Offer Program,Performance-Based Incentive
1,Alabama,Alabama Power Make Ready Program,Rebate Program
1,Alabama,Muscle Shoals Electric Board - New Homes Energy Efficiency Rebate Program,Rebate Program
1,Alabama,Alabama Power - Residential Heat Pump Loan Program,Loan Program
1,Alabama,Alabama Power - Smart Thermostat Reimbursement,Rebate Program
1,Alabama,Municipal Utilities Board of Albertville - Water Heater Efficiency Rebate Program,Rebate Program
1,Alabama,Sheffield Utilities - Residential Energy Efficiency Rebate Programs,Rebate Program
1,Alabama,Sheffield Utilities - Residential Heat Pump Loan Program,Loan Program
1,Alabama,Cullman Power Board - Residential Heat Pump Loan Program,Loan Program
1,Alabama,Alabama - Residential Energy-Efficient Appliance Rebate Program,Rebate Program
1,Alabama,Local Government Energy Loan Program,Loan Program
1,Alabama,Local Option- Sales Tax Abatement for Renewable Energy Facilities,Sales Tax Incentive
1,Alabama,Local Option - Property Tax Exemption for Renewable Energy Facilities,Property Tax Incentive
1,Alabama,Alabama Power - Net Billing,Net Metering
2,Alaska,Weatherization Program,Grant Program
2,Alaska,Chugach Electric - Commercial EV Charging Program,Rebate Program
2,Alaska,Golden Valley Electric Association - Residential Energy Efficiency Rebate Program for Builders,Rebate Program
2,Alaska,Interconnection Guidelines,Interconnection
2,Alaska,Chugach Electric - EV Hotel Charging Program,Rebate Program
2,Alaska,test,Appliance/Equipment Efficiency Standards
2,Alaska,Chugach Electric - EV Workplace Charging Program,Rebate Program
2,Alaska,Chugach Electric - Residential EV Charging Program,Rebate Program
2,Alaska,Alternative Energy Conservation Loan Fund,Loan Program
2,Alaska,Second Mortgage Program for Energy Conservation,Loan Program
2,Alaska,Golden Valley Electric Association - Commercial Lighting Retrofit Rebate Program,Rebate Program
2,Alaska,TEST,Corporate Depreciation
2,Alaska,Power Project Loan Fund,Loan Program
2,Alaska,Local Option - Property Tax Exemption for Renewable Energy Systems,Property Tax Incentive
2,Alaska,Energy Efficiency Revolving Loan Fund Program,Loan Program
2,Alaska,Net Metering,Net Metering
2,Alaska,Alaska Power and Telephone - AMP-UP Program,Rebate Program
2,Alaska,Home Energy Rebate Program,Rebate Program
2,Alaska,Golden Valley Electric Association - Sustainable Natural Alternative Power (SNAP) Program,Performance-Based Incentive
