"Table 6.2.B. Net Summer Capacity Using Primarily Renewable Energy Sources and by State, September 2024 and 2023 (Megawatts)",,,,,,,,,,,,,,,,,,,,
"
 
 
",Summer Capacity at Utility Scale Facilities,,,,,,,,,,,,,,Small Scale Capacity,,Capacity From Utility and Small Scale Facilities,,,
"
Census Division
and State",Wind,,"Solar
Photovoltaic",,Solar Thermal,,"Conventional
Hydroelectric",,Biomass Sources,,Geothermal,,"Total Renewable
Sources",,Estimated Solar Photovoltaic,,Estimated Total Solar Photovoltaic,,Estimated Total Solar,
"
",September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023,September 2024,September 2023
New England,"1,575.7","1,575.7","2,872.3","2,478.0",0.0,0.0,"1,950.5","1,951.1","1,247.4","1,249.0",0.0,0.0,"7,645.9","7,253.8","5,759.5","4,880.5","8,631.8","7,358.5","8,631.8","7,358.5"
Connecticut,5.0,5.0,307.0,286.4,0.0,0.0,119.2,119.2,139.6,139.6,0.0,0.0,570.8,550.2,"1,124.5",938.6,"1,431.5","1,225.0","1,431.5","1,225.0"
Maine,"1,029.5","1,029.5",655.2,420.6,0.0,0.0,725.8,725.8,488.6,488.6,0.0,0.0,"2,899.1","2,664.5",716.4,476.6,"1,371.6",897.2,"1,371.6",897.2
Massachusetts,101.8,101.8,"1,360.3","1,334.5",0.0,0.0,264.8,267.2,273.1,273.1,0.0,0.0,"2,000.0","1,976.6","2,936.3","2,630.4","4,296.6","3,964.9","4,296.6","3,964.9"
New Hampshire,211.9,211.9,2.4,2.4,0.0,0.0,506.5,504.0,225.8,225.8,0.0,0.0,946.6,944.1,260.7,224.1,263.1,226.5,263.1,226.5
Rhode Island,77.3,77.3,397.2,292.9,0.0,0.0,2.7,2.7,40.1,40.1,0.0,0.0,517.3,413.0,538.5,427.6,935.7,720.5,935.7,720.5
Vermont,150.2,150.2,150.2,141.2,0.0,0.0,331.5,332.2,80.2,81.8,0.0,0.0,712.1,705.4,183.0,183.1,333.2,324.3,333.2,324.3
Middle Atlantic,"4,436.5","4,087.2","4,049.8","2,991.0",0.0,0.0,"5,502.6","5,502.6","1,067.2","1,075.4",0.0,0.0,"15,056.1","13,656.2","6,612.7","5,874.7","10,662.5","8,865.7","10,662.5","8,865.7"
New Jersey,7.6,7.6,"1,171.1","1,139.3",0.0,0.0,12.3,12.3,188.7,188.7,0.0,0.0,"1,379.7","1,347.9","2,417.8","2,247.6","3,588.9","3,386.9","3,588.9","3,386.9"
New York,"2,876.3","2,527.0","2,069.2","1,616.4",0.0,0.0,"4,560.8","4,560.8",455.3,455.3,0.0,0.0,"9,961.6","9,159.5","3,250.1","2,870.7","5,319.3","4,487.1","5,319.3","4,487.1"
Pennsylvania,"1,552.6","1,552.6",809.5,235.3,0.0,0.0,929.5,929.5,423.2,431.4,0.0,0.0,"3,714.8","3,148.8",944.7,756.5,"1,754.2",991.8,"1,754.2",991.8
