Net generation for all sectors,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2022&end=2023&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,
Sun Nov 24 2024 20:27:00 GMT-0800 (Pacific Standard Time),,,
Source: U.S. Energy Information Administration,,,
description,units,source key,2023
Net generation for all sectors,thousand megawatthours,,
United States,,ELEC.GEN..A,
United States : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-US-99.A,4183271
United States : coal,thousand megawatthours,ELEC.GEN.COW-US-99.A,675115
United States : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-US-99.A,11397
United States : petroleum coke,thousand megawatthours,ELEC.GEN.PC-US-99.A,4836
United States : natural gas,thousand megawatthours,ELEC.GEN.NG-US-99.A,1806063
United States : other gases,thousand megawatthours,ELEC.GEN.OOG-US-99.A,11778
United States : nuclear,thousand megawatthours,ELEC.GEN.NUC-US-99.A,774873
United States : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-US-99.A,245002
United States : other renewables,thousand megawatthours,ELEC.GEN.AOR-US-99.A,650239
United States : wind,thousand megawatthours,ELEC.GEN.WND-US-99.A,421141
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.A,165530
United States : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-US-99.A,162683
United States : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-US-99.A,2847
United States : geothermal,thousand megawatthours,ELEC.GEN.GEO-US-99.A,16367
United States : biomass,thousand megawatthours,ELEC.GEN.BIO-US-99.A,47200
United States : wood and wood-derived fuels,thousand megawatthours,ELEC.GEN.WWW-US-99.A,31615
United States : other biomass,thousand megawatthours,ELEC.GEN.WAS-US-99.A,15585
United States : hydro-electric pumped storage,thousand megawatthours,ELEC.GEN.HPS-US-99.A,-5990
United States : other,thousand megawatthours,ELEC.GEN.OTH-US-99.A,9957
United States : all solar,thousand megawatthours,ELEC.GEN.TSN-US-99.A,238937
United States : small-scale solar photovoltaic,thousand megawatthours,ELEC.GEN.DPV-US-99.A,73406
United States : all utility-scale solar,thousand megawatthours,ELEC.GEN.SUN-US-99.A,165530
United States : utility-scale photovoltaic,thousand megawatthours,ELEC.GEN.SPV-US-99.A,162683
United States : utility-scale thermal,thousand megawatthours,ELEC.GEN.STH-US-99.A,2847
