"Average cost of fossil fuels for electricity generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/14?agg=2,1,0&fuel=1&geo=vvvvvvvvvvvvo&sec=g&freq=A&start=2008&end=2023&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sun Nov 24 2024 19:40:10 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Average cost of fossil fuels for electricity generation for all sectors",,,,,,,,,,,,,,,,,,
"Natural gas","dollars per mcf","ELEC.COST.NG-US-99.A",,,,,,,,,,,,,,,,
"Natural gas : United States","dollars per mcf","ELEC.COST.NG-US-99.A",9.26,4.86,5.20,"W",3.50,4.44,5.14,3.34,2.97,3.49,3.67,2.98,2.48,5.38,7.45,3.47
"Natural gas : New England","dollars per mcf","ELEC.COST.NG-NEW-99.A","W","W","W","W","W","W","W",4.41,3.42,3.96,4.76,"W","W","W","W","W"
"Natural gas : Connecticut","dollars per mcf","ELEC.COST.NG-CT-99.A","W","W","W","W",3.99,6.23,6.82,4.73,3.67,4.36,4.80,3.61,2.48,4.83,9.17,3.86
"Natural gas : Maine","dollars per mcf","ELEC.COST.NG-ME-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Massachusetts","dollars per mcf","ELEC.COST.NG-MA-99.A","W","W","W","W","W",5.96,6.66,4.33,3.29,3.74,4.91,4.50,3.34,5.92,12.11,7.12
"Natural gas : New Hampshire","dollars per mcf","ELEC.COST.NG-NH-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Rhode Island","dollars per mcf","ELEC.COST.NG-RI-99.A","W","W","W","W",3.98,5.84,"W",3.72,"W",3.63,4.21,3.31,2.39,4.49,8.63,3.05
"Natural gas : Vermont","dollars per mcf","ELEC.COST.NG-VT-99.A","W","W","W","W","W",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"--","--"
"Natural gas : Middle Atlantic","dollars per mcf","ELEC.COST.NG-MAT-99.A","W","W","W","W",3.62,"W",5.17,"W","W","W","W","W","W",3.66,6.76,2.42
"Natural gas : New Jersey","dollars per mcf","ELEC.COST.NG-NJ-99.A","W","W","W","W",3.63,4.34,4.86,2.98,2.20,2.83,3.18,2.89,1.85,3.75,7.24,2.14
"Natural gas : New York","dollars per mcf","ELEC.COST.NG-NY-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Pennsylvania","dollars per mcf","ELEC.COST.NG-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : East North Central","dollars per mcf","ELEC.COST.NG-ENC-99.A","W","W","W","W",3.20,"W",5.31,2.95,2.77,3.24,3.37,2.76,2.14,4.10,6.57,2.83
"Natural gas : Illinois","dollars per mcf","ELEC.COST.NG-IL-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Indiana","dollars per mcf","ELEC.COST.NG-IN-99.A","W","W","W","W",3.08,"W","W","W","W","W",3.44,2.73,2.16,4.40,6.62,3.03
"Natural gas : Michigan","dollars per mcf","ELEC.COST.NG-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
"Natural gas : Ohio","dollars per mcf","ELEC.COST.NG-OH-99.A","W","W","W","W","W","W",4.32,2.42,2.37,3.08,3.30,2.59,"W","W","W","W"
"Natural gas : Wisconsin","dollars per mcf","ELEC.COST.NG-WI-99.A","W","W","W","W","W","W",5.48,3.33,"W","W","W","W",2.46,"W","W","W"
"Natural gas : West North Central","dollars per mcf","ELEC.COST.NG-WNC-99.A","W","W","W","W","W","W",5.73,"W","W","W","W","W","W","W","W","W"
"Natural gas : Iowa","dollars per mcf","ELEC.COST.NG-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
